,uip,ml-iap,ml-dft,rep-learn,materials-discovery
2023-06-12,0.0,0.0,163.0,0.0,33.0
2023-08-31,0.0,3832.0,508.0,38600.0,60.0
2023-11-30,0.0,4211.0,608.0,40081.0,65.0
2024-01-04,0.0,4955.0,1292.0,43369.0,1415.0
2024-03-17,0.0,5603.0,1485.0,44942.0,1586.0
2024-06-06,0.0,6111.0,1700.0,46496.0,1740.0
2024-08-08,0.0,6423.0,1873.0,48312.0,1847.0
2024-09-05,3400.0,9419.0,2090.0,53074.0,2013.0
2024-11-14,4772.0,10240.0,2278.0,54676.0,2098.0
2025-02-27,5375.0,11247.0,2516.0,56681.0,2257.0
2025-04-05,10372.0,14930.0,2701.0,60209.0,3655.0
2025-04-09,10519.0,15311.0,3094.0,61207.0,4134.0
