,Representation Learning,Electronic Structure,Descriptors,Datasets,Interatomic Potentials,Language Models,Universal Potentials,Generative Models
2023-06-12,31.0,37.0,0.0,65.33333333333334,0.0,0.0,0.0,87.0
2023-06-13,51.0,44.0,0.0,72.0,0.0,0.0,0.0,97.0
2023-08-13,53.0,41.0,0.0,73.33333333333333,0.0,0.0,0.0,96.0
2023-08-14,53.0,41.0,0.0,73.33333333333333,0.0,0.0,0.0,96.0
2023-08-15,179.0,41.0,44.0,73.33333333333333,0.0,0.0,0.0,103.0
2023-08-23,177.0,40.0,96.0,74.66666666666667,0.0,0.0,0.0,102.0
2023-08-25,306.0,77.0,130.0,177.06666666666666,94.0,0.0,0.0,145.06666666666666
2023-08-26,337.0,80.0,130.0,177.06666666666666,347.0,0.0,0.0,145.06666666666666
2023-08-29,335.0,78.0,147.0,192.52820512820512,347.0,0.0,0.0,145.06666666666666
2023-08-30,335.0,78.0,146.0,192.52820512820512,346.0,0.0,0.0,145.06666666666666
2023-08-31,336.0,78.0,146.0,192.52820512820512,347.0,0.0,0.0,145.06666666666666
2023-09-07,338.0,78.0,145.0,190.2871794871795,347.0,0.0,0.0,146.13333333333333
2023-09-14,336.0,79.0,143.0,190.22051282051282,344.0,0.0,0.0,145.06666666666666
2023-09-21,333.0,78.0,143.0,187.9794871794872,344.0,0.0,0.0,146.13333333333333
2023-09-28,337.0,77.0,144.0,190.2871794871795,342.0,0.0,0.0,146.13333333333333
2023-10-04,330.0,77.0,142.0,187.91282051282053,344.0,0.0,0.0,145.06666666666666
2023-10-05,328.0,76.0,143.0,187.84615384615384,343.0,0.0,0.0,144.0
2023-10-12,334.0,77.0,144.0,187.84615384615384,348.0,0.0,0.0,144.0
2023-10-19,335.0,76.0,143.0,188.93333333333334,349.0,0.0,0.0,142.93333333333334
2023-11-02,339.0,76.0,143.0,187.64615384615385,350.0,0.0,0.0,140.8
2023-11-30,336.0,77.0,144.0,187.64615384615385,350.0,0.0,0.0,140.8
2023-12-03,457.0,125.0,151.0,325.78609625668446,409.0,113.78609625668449,0.0,163.05882352941177
2023-12-04,482.0,127.0,175.0,336.22727272727275,453.0,114.22727272727272,0.0,180.5
2023-12-05,483.0,127.0,175.0,338.6272727272727,453.0,114.22727272727272,0.0,180.5
2023-12-06,483.0,127.0,176.0,347.32837143363463,461.0,112.8468899521531,0.0,184.21052631578948
2023-12-07,483.0,127.0,176.0,347.32837143363463,461.0,112.8468899521531,0.0,184.21052631578948
2023-12-10,488.0,127.0,176.0,367.8995215311005,461.0,112.89952153110048,0.0,185.26315789473685
2023-12-14,486.0,127.0,177.0,366.99122807017545,460.0,117.15789473684211,0.0,183.1578947368421
2023-12-21,488.0,127.0,175.0,368.3014354066986,461.0,118.30143540669857,0.0,184.21052631578948
2023-12-25,492.0,128.0,176.0,371.9066985645933,464.0,118.4066985645933,0.0,186.31578947368422
2024-01-04,485.0,130.0,174.0,365.40829346092505,456.0,112.74162679425837,0.0,182.10526315789474
2024-01-11,488.0,136.0,172.0,369.2097288676236,457.0,114.04306220095694,0.0,186.31578947368422
2024-01-18,490.0,137.0,175.0,371.72488038277515,459.0,116.22488038277513,0.0,186.31578947368422
2024-01-25,491.0,136.0,172.0,374.3740031897927,463.0,116.54066985645933,0.0,192.63157894736844
2024-02-01,490.0,137.0,171.0,369.56379585326954,462.0,115.39712918660287,0.0,191.57894736842104
2024-02-08,491.0,138.0,171.0,369.56379585326954,463.0,115.39712918660287,0.0,191.57894736842104
2024-02-15,496.0,138.0,173.0,369.6164274322169,467.0,115.44976076555024,0.0,192.63157894736844
2024-02-22,501.0,137.0,173.0,370.6395534290271,472.0,114.30622009569379,0.0,191.57894736842104
