name,dependent_project_count,category,labels,rank_by_dpc
PyG Models,8647.0,rep-learn,['general-ml'],1
Deep Graph Library (DGL),3951.0,rep-learn,,2
RDKit,926.0,general-tool,"['lang-cpp', 'cheminformatics']",3
DeepChem,580.0,general-tool,,4
e3nn,488.0,rep-learn,,5
Matminer,441.0,general-tool,,6
dgl-lifesci,320.0,rep-learn,,7
DScribe,269.0,rep-eng,,8
dpdata,179.0,data-structures,,9
JARVIS-Tools,152.0,general-tool,,10
ChemDataExtractor,136.0,language-models,['literature-data'],11
SchNetPack,105.0,rep-learn,,12
MatGL (Materials Graph Library),98.0,rep-learn,"['ml-iap', 'pretrained', 'multifidelity']",13
MEGNet,95.0,ml-iap,['multifidelity'],14
Molfeat,74.0,general-tool,"['cheminformatics', 'rep-eng', 'rep-learn', 'generative', 'language-models', 'pretrained']",15
JAX-MD,74.0,md,,16
e3nn-jax,70.0,rep-learn,,17
OPTIMADE Python tools,67.0,datasets,,18
TorchANI,61.0,ml-iap,,19
SMACT,54.0,materials-discovery,"['htc', 'structure-prediction', 'electrostatics']",20
